Turma;Ano de Ingresso;Ano Egresso;Você está empregado no Einstein?;Você está empregado na área em que se formou?;Se sim, em qual instituição?;Em qual cargo?;Progressão de carreira;Caso esteja empregado, em qual unidade/setor está trabalhando?;Curso;Formação;Lyceum (Sit Aluno);Situação do aluno;Pendência;Motivo do cancelamento;Data do cancelamento;Mês do cancelamento;Data de reabertura;Observação;Respondeu a pesquisa?;O docente indica?;Pretende iniciar alguma graduação?;Local de trabalho;tratativa de repetido
8NA/8NB;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Morumbi - Pacientes Graves;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
ENF EURO 3T;ago/18;jun/20;;Sim;Hospital M´Boi Mirim;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6N;fev/18;dez/19;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;Técnico de Enfermagem;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;Era da 5MB e concluiu o último semestre do curso da turma 6N;;;;;Era da 5MB e concluiu o último semestre do curso da turma 6N;;;;;
5MB;jan/18;dez/19;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6N;jan/18;dez/19;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6T;fev/19;dez/20;;Sim;HMVSC;Auxiliar de Enfermagem;Técnico de Enfermagem;Oncologia;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
7M;ago/19;jun/21;;Não;;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Cancelado;Aprovado;;;;;;;;;;;
6N;fev/18;dez/19;;Sim;Hospital Igesp;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
7M;ago/19;jun/21;;Sim;Hospital Beneficência Portuguesa;Auxiliar de Enfermagem;;Semi-intensiva ;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado ;;;;;;;;;;;
5MB;jan/18;dez/19;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
ENF EURO 5T;fev/22;dez/23;Sim;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;UPA Campo Limpo;Curso Técnico de Enfermagem;Técnico de Enfermagem;Ativo;Aprovado;;;;;;;;;;;
ENF21N2S;ago/21;jun/23;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar Enfermagem;;Geriatria  - Natasha;Curso Técnico de Enfermagem;Técnico de Enfermagem;Concluido;Aprovado;Fez estágio extra por 5 meses;;;;;;;;;;
ENF22N1S;jan/22;dez/23;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;E - Saúde;13/04/2023;abr/23;;;;;;;
ENF23N1S;jan/23;dez/24;;Não;;;;;Curso Técnico de Enfermagem;;Cancelado;Cancelado;;E-Mudança de área;28/02/2023;fev/23;;;;;;;
ENF23M1S;jan/23;dez/24;Não;Sim;Hospital Beneficiência Portuguesa;Auxiliar enfermagem;;;Curso Técnico de Enfermagem;;Ativo;Matriculado;;;;;;;;;;;
AC22N1S;fev/22;dez/23;Sim;Sim;Hospital Israelita Albert Einstein;Tecnico Laboratorio Ensino e Pesquisa;;CEP - Técnico de Laboratório;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Ativo;Aprovado;;;;;;;;;;;
ENF20N1S;fev/20;dez/21;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Internação - Morumbi;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
ENF20M1S;fev/20;dez/21;;Sim;Beneficência Portuguesa;Auxiliar de Enfermagem;;AE;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Não;;;;
ENF21N1S;fev/21;dez/22;Não;Não;Hospital Israelita Albert Einstein;Monitoria;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;Gravida;;;;;Fez estágio extra curricular - Terapia Intensiva Adulto ;;;;;sim
ENF21M1S;fev/21;dez/22;Não;Não;;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;Tem interesse em ingressar no einstein;;;;;sim
ENF23M1S;fev/23;dez/24;;;Hospital Israelita Albert Einstein;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;;;;;;;;;;
ENF20N1S;fev/20;dez/21;;Não;;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Cancelado;Cancelado;;Motivos Pessoais;30/04/2021;;;Complemento/Número não existe;Não;;;;
ENF22N2S;ago/22;jun/24;;;Hospital Israelita Albert Einstein;;;;Curso Técnico de Enfermagem;Técnico de Enfermagem;Ativo;Aprovado;;;;;;;;;;;
ENF22N2S;ago/22;jun/24; ;Não;Hospital Israelita Albert Einstein;Representante Serviço Atendimento II; ;Centro Agend.;Curso Técnico de Enfermagem;Técnico de Enfermagem;Ativo;Aprovado;Possui duas matrículas - 20020626;;;;;;;;;;
ENF22M1S;fev/22;dez/23;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Cancelado;;Motivos Pessoais;08/12/2022;dez/12;;;;;;;
ENF21N2S;ago/21;jun/23;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;Evasão;30/06/2022;;;;;;;;
ENF20T1S;fev/20;dez/21;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;Unidade de Internação;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;Sim;;
ENF22M1S;fev/22;dez/23;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Reprovado ;teoria de APPS;;;;;;;;;;
ENF23M1S;fev/23;dez/24;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Matriculado;Alerta de pendência;;;;;;;;;;
ENF22M2S;ago/22;jun/24;Não;Sim;Alergo- dermatologia ;Auxiliar Enfermagem;;Dermatologia ;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Matriculado;;;;;;;;;;;
ENF22N2S;ago/22;jun/24;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar Enfermagem;;;Curso Técnico de Enfermagem;Técnico de Enfermagem;Ativo;Aprovado;;;;;;;;;;;
ENF22N1S;fev/22;dez/23;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;Financeiro ;14/02/2022;;;;;;;;
ENF23M1S;fev/23;dez/24;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Matriculado;;;;;;;;;;;
ENF20M2S;ago/20;jun/22;Sim;Sim;Hospital Sírio Libanês;Tecnico Enfermagem;;Transporte;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;Sim;Sim;;sim
ENF EURO 4T;ago/20;jun/22;Sim;Sim;HMVSC;Técnico de Enfermagem;;Unidade de Internação Assistencial;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;Sim;Sim;Einstein;sim
ENF22N2S;ago/22;jun/24;Sim;Sim;Hospital Israelita Albert Einstein;Estagiário Técnico Extracurricular ;Unidade de Internação Clínica Médica A1;;Curso Técnico de Enfermagem;Técnico de Enfermagem;Ativo;Aprovado;;;;;;;;;;;
ENF20M2S;ago/20;jun/22;;Não;Hospital Israelita Albert Einstein;Representante Serviço Atendimento II;;Centro Agend.;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;No estágio de APPS, ;Reprovado ;03/08/2021;;;;Sim;;Sim;Einstein;sim
ENF20N1S;fev/20;dez/21;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Geriatria/Morumbi;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
ENF20M2S;ago/20;jun/22;;Não;;;;Unidade Internação 9º andar;Curso Técnico de Enfermagem;Técnico em Enfermagem;Ativo;Reprovado ;Não foi na compensação de estagio de paciente grave 3F (Atestado);;;;;;Não;Sim;;Einstein;sim
ENF22M1S;fev/22;dez/23;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Cancelado;;Saúde ;25/02/2022;;;;;;;;
ENF22M2S;ago/22;jun/24;;;;;;;Curso Técnico de Enfermagem;Tecnico de Enfermagem;Ativo;Aprovado;;;;;;;;;;;
ENF22N2S;ago/22;jun/24;Sim;Sim;Hospital Menino Jesus;Tecnico Enfermagem;;;Curso Técnico de Enfermagem;Técnico de Enfermagem;Ativo;Aprovado;;;;;;;;;;;
ENF23T1S;jan/23;dez/24;;;;Estagiário Técnico Extracurricular ;Terapia Intensiva Adulto - Enf;;Curso Técnico de Enfermagem;;Ativo;Matriculado;;;;;;;;;;;
ENF20N1S;fev/20;dez/21;;Não;;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Cancelado;Reprovado/Reserva de vaga ;Reprovada no estágio de PA II/ Celular desligado ;;;;;Celular desligado ;Não;;;;
ENF20N2S;ago/20;jun/22;;Não;;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Cancelado;Cancelado;;Mudança de horário no trabalho ;30/11/2021;;;Reprovada no estágio de PA II/ Celular desligado ;Não;;;;sim
5NA;fev/18;dez/19;;Não;;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Cancelado;Cancelado;;E - Horário;05/06/2018;;;Reprovada no estágio de PA II/ Celular desligado ;Não;;;;
RAD22N1S;fev/22;dez/23;Sim;Sim;Hospital Israelita Albert Einstein;Técnico Raio X;;Unidade Perdizes;Curso Técnico em Radiologia ;Técnico em Radiologia;Ativo;Aprovado;;;;;;;;;;;
ENF21T1S;fev/21;dez/22;Sim;Sim;HMVSC;Tecnico Enfermagem;;HMVSC AESC;Curso Técnico de Enfermagem;Técnico em Radiologia;Concluido;Aprovado;;;;;;Fez estágio extra curricular - Unidade Pronto Atendimento/ Empregada Tecnico Enfermagem Hosp Municipal HMVSC;;;;Einstein;sim
ENF EURO 5T;fev/22;dez/23;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Reprovado ;Em Estágio de PAI I ;;;;;;;;;;
ENF22N2S;ago/22;jun/24;;;;;;;Curso Técnico de Enfermagem;Técnico de Enfermagem;Ativo;Aprovado;;;;;;;;;;;
ENF21N1S;fev/21;dez/22;;Não;;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Cancelado;Reprovado;Reprovado no estágio de PG;;;;;;;;;;não
ENF21T1S;fev/21;dez/22;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;Saúde;01/12/2022;;;;;;;;sim
ENF20M1S;fev/20;dez/21;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;Transplante;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;Sim;Sim;;
ENF23M1S;fev/23;dez/24;;;;Estagiário Técnico Extracurricular ;Unidade Internação 11º andar A;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Matriculado;;;;;;;;;;;
ENF20M1S;fev/20;dez/21;;Não;;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;Esta trabalhando de telemarketing,não consegue passar nos processos que esta realizando. 05/12 Situação se mantem;Sim;Sim;Sim;;
ENF21M1S;fev/21;dez/22;Sim;Sim;HMVSC;Auxiliar Enfermagem;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Cancelado;;Reprovado ;06/01/2022;;03/03/2022;Reprovado por nota em PAI;;;;Einstein;sim
ENF22M1S;fev/22;dez/23;Sim;Sim;HMVSC;Auxiliar Enfermagem;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Cancelado;;;;;;;;;;;
ENF22N2S;ago/22;jun/24;Não;Não;;;;;Curso Técnico de Enfermagem;Técnico de Enfermagem;Ativo;Aprovado;;;;;;;;;;;
ENF23N1S;jan/23;dez/24;;;;;;;Curso Técnico de Enfermagem;;Ativo;Matriculado;;;;;;;;;;;
ENF23N1S;jan/23;dez/24;;;;;;;Curso Técnico de Enfermagem;;Ativo;Matriculado;;;;;;;;;;;
ENF22N1S;fev/22;dez/23;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;Motivos Pessoais;28/07/2022;;;Passou na Graduação de Direito ;;;;;
ENF21M2S;fev/21;jun/23;Não;Sim;Hospital Beneficência Portuguesa;Técnico em Enfermagem;Foi de auxiliar para técnico;Unidade de internação cirúrgica;Curso Técnico de Enfermagem;Técnico de Enfermagem;Concluido;Aprovado;Era da Turma 21M1S Concluiu o AE;;;Sim;Clinica Einstein -Parque Ibirapuera ;Assistente Atendimento II;;;;;não
ENF20M1S;fev/20;dez/21;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;Programas Internos;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;Sim;Sim;;
ENF23M1S;fev/23;dez/24;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Matriculado;Prova de recuperação em janeiro;;;;;;;;;;
ENF22N1S;fev/22;dez/23;Não;Sim;Hospital Santa Paula (Rede Dasa);Técnico de Enfermagem;;Internação Adulto;Curso Técnico de Enfermagem;Técnico de Enfermagem;Ativo;Aprovado;;;;;;Reprovada em PAI;;;;;
ENF22N1S;fev/22;dez/23;Sim;Sim;Hospital Israelita Albert Einstein;Técnica do centro de  simulação realistica;;CEP;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Cancelado;;;20/12/2023;;;Reprovado em Micro;;;;;
ENF23N1S;jan/23;dez/24;;;;;;;Curso Técnico de Enfermagem;;Ativo;Matriculado;;;;;;;;;;;
ENF EURO 4T;ago/20;jun/22;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;CMC 4A - Plástica;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;Sim;Sim;Einstein;sim
ENF21N1S;fev/21;dez/22;Sim;Sim;HMVSC;Auxiliar Enfermagem;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Reprovado ;Em teoria de PAI I;;;;;;;;;;sim
ENF23N1S;jan/23;dez/24;;;;;;;Curso Técnico de Enfermagem;;Cancelado;Cancelado;;E-Saúde;21/03/2023;fev/23;;;;;;;
ENF20T1S;fev/20;dez/21;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;;30/06/2021;;;;;;;;
ENF21N1S;fev/21;dez/22;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;;;;;;;;;;sim
ENF22N1S;fev/22;dez/23;Sim;Não;Hospital Israelita Albert Einstein;Camareiro;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;Reprovada em teoria de PAI. Está na turma 22N1S;;;Não;;Reprovada em teoria de PAI e estágio de APPS;;;;;
ENF21N1S;fev/21;dez/22;Sim;Não;Hospital Israelita Albert Einstein;Camareiro;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Reprovado ;Reprovou em teoria de PAI I 21M1S e estágio de APPS;;;;;;;;;Einstein;sim
ENF21M1S;fev/21;dez/22;Sim;Não;Hospital Israelita Albert Einstein;Camareiro;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Cancelado;Reprovado;;;;;;Reprovada em teoria de PAI. Está na turma 22N1S;;;;;não
ENF21N1S;fev/21;dez/22;Sim;Não;Hospital Israelita Albert Einstein;Camareiro;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Reprovado;;;;;;Reprovada em teoria PAI;;;;;não
ENF22M1S;fev/22;dez/23;;Sim;Hospital das Clínicas;Tecnico Enfermagem;;Estágio extracurricular - hemodiálise;Curso Técnico de Enfermagem;Técnico de Enfermagem;Ativo;Transferência;;;;;;;;;;;
ENF21N1S;fev/21;dez/22;Não;Sim;Hospital Leforte Morumbi;Técnico de Enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;Era da 21M1S;;;;;;;;;;sim
ENF23T1S;jan/23;dez/24;;;;;;;Curso Técnico de Enfermagem;;Ativo;Matriculado;;;;;;;;;;;
ENF21N2S;ago/21;jun/23;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar Enfermagem;;CC  - I4 Adriana Lario;Curso Técnico de Enfermagem;Técnico de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
ENF21M1S;fev/21;dez/22;Sim;?;Hospital Israelita Albert Einstein;Tecnico Administrativo I;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Cancelado;Reserva de vaga/ Reprovou em teoria de APPS e PAI na turma ENF21M1S e concluiu o AE na turma ENF22M1S;Motivos Pessoais;01/07/2022;;;Reprovado em PAI 1, APPS (Teoria) reingressou na turma 22M1S;;;;;sim
ENF EURO 4T;ago/20;jun/22;Sim;Sim;HMVSC;Auxiliar de Enfermagem;;Assist – Diálise, Ambulatório e Coleta;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;Sim;Sim;Einstein;sim
RAD21N1S;fev/21;dez/22;Sim;Sim;Hospital Israelita Albert Einstein;Tecnico Raio X;;Unidade Ibirapuera, setor raio x;Curso Técnico em Radiologia ;Técnico em Radiologia;Concluido;Aprovado;;;;;;;;;;Einstein;sim
ENF20N2S;ago/20;jun/22;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;UPA;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Cancelado;;Financeiro;01/12/2021;;;Atualmente esta matriculada na ENF22N1S ;Sim;;Sim;Einstein;sim
ENF23N1S;jan/23;dez/24;;;;;;;Curso Técnico de Enfermagem;;Ativo;Matriculado;;;;;;;;;;;
ENF22N2S;ago/22;jun/24;;;Hospital Israelita Albert Einstein;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;Motivos pessoais;27/09/2022;set/22;;;;;;;
ENF23T1S;jan/23;dez/24;;;;;;;Curso Técnico de Enfermagem;;Cancelado;Matriculado;;;;;;Não está frequentando as aulas devido a problemas de saúde;;;;;
ENF23M1S;fev/23;dez/24;;;;Estagiário Técnico Extracurricular ;Unidade de Internação 6º Andar;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Matriculado;;;;;;;;;;;
ENF20N1S;fev/20;dez/21;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Internação Oncologia;Curso Técnico de Enfermagem;Técnico em Enfermagem;Ativo;Aprovado;;;;;;Numero não existe ;Sim;Sim;Sim;;
AC22N1S;fev/22;dez/23;Não;Sim;Grupo Fleury;Assistente de coleta I;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Ativo;Aprovado;;;;;;;;;;;
ENF22M2S;ago/22;jun/24;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;E-Financeiro;23/02/2023;fev/23;;;;;;;
ENF21T1S;fev/21;dez/22;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;Motivos Pessoais;09/08/2021;;;;;;;;sim
ENF23M1S;fev/23;dez/24;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;E - Saúde;04/05/2023;;;;;;;;
ENF21T1S;fev/21;dez/22;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;Motivos Pessoais;23/03/2022;;;Complemento;;;;;sim
ENF22M1S;fev/22;dez/23;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;Motivos Pessoais;31/03/2022;;;;;;;;
ENF20M2S;ago/20;jun/22;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;Distância ;01/04/2021;;;;Não;;;;sim
ENF20T1S;fev/20;dez/21;;Sim;Grupo Fleury ;Auxiliar de Enfermagem;;Coleta;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;Não;;
ENF21N2S;ago/21;jun/23;Não;Não;;;;;Curso Técnico de Enfermagem;Técnico de Enfermagem;Concluido;Aprovado;Faz monitoria no setor de pesquisa clínica;;;;;;;;;;
ENF22M2S;ago/22;jun/24;Não;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Matriculado;;;;;;;;;;;
ENF22M1S;fev/22;dez/23;Sim;Sim;Hospital Vila Nova Star- Rede D’Or São Luiz;Técnico de enfermagem;;Unidade de internação;Curso Técnico de Enfermagem;Técnico de Enfermagem;Ativo;Aprovado;;;;;;;;;;;
ENF23T1S;jan/23;dez/24;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;E - Financeiro;01/05/2023;;;;;;;;
ENF21T1S;fev/21;dez/22;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Unidade de Internação 7º andar A - Natasha;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;Einstein;sim
ENF20N1S;fev/20;dez/21;Sim;Sim;HMVSC;Auxiliar Enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado/Reserva de vaga;Era da 6N/Aprovada nas disciplinas Assistência de Enfermagem ao Paciente Grave, Empreendedorismo e Estágio de Assistência de Enfermagem ao paciente grave;;;;;;;;;;
6N;fev/18;dez/19;Sim;Sim;HMVSC;Auxiliar Enfermagem;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Reprovado;Reprovada nas disciplinas Assistência de Enfermagem ao Paciente Grave, Empreendedorismo e Estágio de Assistência de Enfermagem ao paciente grave;;;;;;;;;;
ENF21N2S;ago/21;jun/23;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;;Curso Técnico de Enfermagem;Técnico de Enfermagem;Concluido;Aprovado;;;;;;Era da turma 21M2S;;;;;
ENF23T1S;jan/23;dez/24;;;;;;;Curso Técnico de Enfermagem;;Cancelado;Matriculado;;;;;;;;;;;
ENF23N1S;jan/23;dez/24;;;;;;;Curso Técnico de Enfermagem;;Ativo;Matriculado;;;;;;;;;;;
ENF21M1S;fev/21;dez/22;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;Financeiro ;05/07/2021;;;;;;;;sim
ENF EURO 5T;fev/22;dez/23;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar Enfermagem;;Ortopedia 9º andar  - Gilene;Curso Técnico de Enfermagem;Técnico de Enfermagem;Ativo;Aprovado;;;;;;;;;;;
ENF20T1S;fev/20;dez/21;;Sim; Hospital de Parelheiros;Técnico de Enfermagem;;Clínica medica;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;Entrou em contato quando acabou o contrato na AMA da Vila Preu está esperando o retorno ;Sim;Sim;Sim;;
ENF20M1S;fev/20;dez/21;;Sim; Hospital Menino Jesus;Técnico de Enfermagem;;Pediatria;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;Não;Sim;;
ENF22M2S;ago/22;jun/24;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;Motivos pessoais;15/08/2022;;;;;;;;
ENF22M2S;ago/22;jun/24;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Matriculado;;;;;;;;;;;
ENF23M1S;fev/23;dez/24;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Matriculado;Prova de recuperação em janeiro;;;;;;;;;;
ENF23M1S;fev/23;dez/24;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;E-Motivos Pessoais;28/02/2023;fev/23;;;;;;;
ENF22N2S;ago/22;jun/24;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;Migrou para graduação de enfermagem(Einstein);Motivos pessoais;12/12/2022;;;Ingressou na graduação de enfermagem do Einstein;;;;;
ENF23N1S;jan/23;dez/24;;;;;;;Curso Técnico de Enfermagem;;Ativo;Matriculado;;;;;;;;;;;
ENF21M1S;fev/21;dez/22;;Sim;Rede D'Or;Técnico Enfermagem;;Unidade de Terapia Intensiva;Curso Técnico de Enfermagem;Técnico em Enfermagem;Ativo;Reprovado;;;;;;"Reprovado por frequência em Enfermagem Oncológica, geriatria e pediatria; Reingressou na turma  ENF22M1S";;;;;sim
ENF EURO 5T;fev/22;dez/23;Não;Sim;Autônoma;Área da tecnologia;;;Curso Técnico de Enfermagem;Técnico de Enfermagem;Ativo;Aprovado;Era da turma ENF22M1S;;;;;;;;;;
ENF22M2S;ago/22;jun/24;Não;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Matriculado;;;;;;;;;;;
ENF21N2S;ago/21;jun/23;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;Motivos Pessoais;05/07/2022;;;;;;;;
ENF22M1S;fev/22;dez/23;Não;Não;;;;;Curso Técnico de Enfermagem;Técnico de Enfermagem;Ativo;Aprovado;;;;;;;;;;;
ENF20M1S;fev/20;dez/21;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;AE Centro Obstétrico;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;Sim;Sim;;
ENF20M1S;fev/20;dez/21;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;AE Semi Intensiva;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;Sim;;
ENF23M1S;fev/23;dez/24;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;D-Outra IE;;;;;;;;;
ENF22N2S;ago/22;jun/24;;;Hospital Israelita Albert Einstein;Estagiário Técnico Extracurricular ;Terapia Semi Intensiva - Enf;Unidade Semi Intenisva 7º andar  - Rodrigo;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Reprovado ;Estágio pendente;;;;;;;;;;
ENF23M1S;jan/23;dez/24;;;;Estagiário Técnico Extracurricular ;Terapia Semi Intensiva - Enf;;Curso Técnico de Enfermagem;;Ativo;Matriculado;;;;;;;;;;;
ENF21T1S;fev/21;dez/22;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;;30/03/2021;;;;;;;;sim
ENF20T1S;fev/20;dez/21;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Maternidade;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;Sim;Sim;;
